NCAA name,School,Conference,Division,Fall/2025 Roster,2025 Schedule,ScheduleLink,RosterLink,BaseURL,URL,Last Checked Roster,Last Checked Schedule,Site,YesBoth,YesRost,YesSked,No,images,color,record,ovr_win_pct,ovr_strk,conference_record,conf_win_pct,conf_strk,conf_image,notes,op,pp,prod
Belmont Abbey,Belmont Abbey,Conference Carolinas,NA,No,Yes,https://abbeyathletics.com/sports/baseball/schedule/2025,https://abbeyathletics.com/sports/baseball/roster/2025,https://abbeyathletics.com/sports/baseball,https://abbeyathletics.com,2025-01-10T00:00:00Z,2025-01-07T00:00:00Z,Sidearm,0,0,1,0,https://abbeyathletics.com/images/logos/site/site.png?width=600,#d31145,28-25,0.528,L1,16-14,0.533,L1,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/swuathletics.com/images/responsive_2020/logo_footer_conference-carolina.png,Conference Carolinas Tournament Appearance,NA,NA,NA
Bemidji St.,Bemidji State,NSIC,NA,Yes,Yes,https://bsubeavers.com/sports/baseball/schedule/2025,https://bsubeavers.com/sports/baseball/roster/2025,https://bsubeavers.com/sports/baseball,https://bsubeavers.com,2024-12-19T00:00:00Z,2024-12-19T00:00:00Z,Sidearm,1,0,0,0,https://bsubeavers.com/images/logos/site/site.png?width=600,#004d44,3-47,0.06,L3,2-38,0.05,L3,https://northernsun.org/images/logos/site/site.png?width=600,NA,63.5,79.1,68.6
Benedict,Benedict,SIAC,NA,No,Yes,https://benedicttigers.com/sports/baseball/schedule/2025,https://benedicttigers.com/sports/baseball/roster/2025,https://benedicttigers.com/sports/baseball,https://benedicttigers.com,2025-01-10T00:00:00Z,2024-10-30T00:00:00Z,Sidearm,0,0,1,0,https://benedicttigers.com/images/logos/site/site.png?width=600,#3d1356,14-25,0.359,L6,10-23,0.303,L9,https://thesiac.com/images/logos/site/site.png?width=600,NA,NA,NA,NA
Bentley,Bentley,NE10,Northeast,Yes,Yes,https://bentleyfalcons.com/sports/baseball/schedule/2025,https://bentleyfalcons.com/sports/baseball/roster/2025,https://bentleyfalcons.com/sports/baseball,https://bentleyfalcons.com,2024-10-30T00:00:00Z,2024-10-30T00:00:00Z,Sidearm,1,0,0,0,https://bentleyfalcons.com/images/logos/site/site.png?width=600,#0075be,29-19,0.604,L1,15-13,0.536,L1,https://northeast10.org/images/logos/site/site.png?width=600,NE10 Tournament Appearance,32.7,89.8,54.300000000000004
Biola,Biola,PacWest,NA,Yes,Yes,https://athletics.biola.edu/sports/baseball/schedule/2025,https://athletics.biola.edu/sports/baseball/roster/2025,https://athletics.biola.edu/sports/baseball,https://athletics.biola.edu,2024-09-19T00:00:00Z,2024-09-19T00:00:00Z,Sidearm,1,0,0,0,https://athletics.biola.edu/images/logos/site/site.png?width=600,#d81733,22-27-1,0.45,W1,12-19,0.387,W1,https://thepacwest.com/images/logos/site/site.png?width=600,NA,36.7,36.199999999999996,36.5
Bloomfield,Bloomfield,CACC,North,No,Partial,https://bcbearsathletics.com/sports/baseball/schedule/2025,https://bcbearsathletics.com/sports/baseball/roster/2025,https://bcbearsathletics.com/sports/baseball,https://bcbearsathletics.com,2024-12-30T00:00:00Z,2024-12-30T00:00:00Z,Sidearm,0,0,0,1,https://bcbearsathletics.com/images/logos/site/site.png?width=600,#d1190d,0-8,0,L11,0-8,0,L11,https://cdn.usteamcolors.com/images/ncaa/conferences/central-atlantic-collegiate-conference-logo.png,NA,NA,NA,NA
Bloomsburg,Bloomsburg,PSAC,East,No,Yes,https://buhuskies.com/sports/baseball/schedule/2025,https://buhuskies.com/sports/baseball/roster/2025,https://buhuskies.com/sports/baseball,https://buhuskies.com,2025-01-10T00:00:00Z,2024-10-30T00:00:00Z,Sidearm,0,0,1,0,https://buhuskies.com/images/logos/site/site.png?width=600,#6f263d,16-32,0.333,W1,11-22,0.333,W1,https://psacsports.org/images/logos/site/site.png?width=600,NA,NA,NA,NA
Bluefield St.,Bluefield State,Independent,NA,Yes,Yes,https://gobstate.com/sports/baseball/schedule/2025,https://gobstate.com/sports/baseball/roster/2025,https://gobstate.com/sports/baseball,https://gobstate.com,2024-12-30T00:00:00Z,2024-12-19T00:00:00Z,Sidearm,1,0,0,0,https://gobstate.com/images/logos/site/site.png?width=600,#152c52,33-15,0.688,W2,0-0,0,W9,NA,NA,4.2,5.2,4.6
Bridgeport,Bridgeport,CACC,North,Yes,Yes,https://www.ubknights.com/sports/bsb/2024-25/schedule,https://www.ubknights.com/sports/bsb/2024-25/roster,https://www.ubknights.com/sports/bsb,https://www.ubknights.com,2024-10-30T00:00:00Z,2024-10-30T00:00:00Z,Presto,1,0,0,0,https://cdn.usteamcolors.com/images/ncaa/division-2/bridgeport-purple-knights-logo.png,#302A83,11-32,0.256,L4,9-15,0.375,L3,https://cdn.usteamcolors.com/images/ncaa/conferences/central-atlantic-collegiate-conference-logo.png,NA,54.4,83.8,65.5
Cal Poly Pomona,Cal Poly Pomona,CCAA,NA,Yes,Yes,https://broncoathletics.com/sports/baseball/schedule/2025,https://broncoathletics.com/sports/baseball/roster/2025,https://broncoathletics.com/sports/baseball,https://broncoathletics.com,2024-11-19T00:00:00Z,2024-10-30T00:00:00Z,Sidearm,1,0,0,0,https://broncoathletics.com/images/logos/site/site.png?width=600,#005030,32-24,0.571,L2,25-15,0.625,W1,https://goccaa.org/images/logos/site/site.png?width=600,West Regional Appearance,70.2,35.4,56.8
Cal St. Dom. Hills,Cal State Dominguez Hills,CCAA,NA,No,No,https://gotoros.com/sports/baseball/schedule/2025,https://gotoros.com/sports/baseball/roster/2025,https://gotoros.com/sports/baseball,https://gotoros.com,2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,Sidearm,0,0,0,1,https://gotoros.com/images/logos/site/site.png?width=600,#6f0028,20-29,0.408,L1,16-23,0.41,L1,https://goccaa.org/images/logos/site/site.png?width=600,NA,NA,NA,NA
Cal St. East Bay,Cal State East Bay,CCAA,NA,Yes,Yes,https://eastbaypioneers.com/sports/baseball/schedule/2025,https://eastbaypioneers.com/sports/baseball/roster/2025,https://eastbaypioneers.com/sports/baseball,https://eastbaypioneers.com,2024-12-30T00:00:00Z,2024-12-16T00:00:00Z,Sidearm,1,0,0,0,https://eastbaypioneers.com/images/logos/site/site.png?width=600,#c70c2b,22-29,0.431,L4,14-25,0.359,L4,https://goccaa.org/images/logos/site/site.png?width=600,NA,45.2,92.2,63.4
Cal State LA,Cal State Los Angeles,CCAA,NA,No,Yes,https://lagoldeneagles.com/sports/baseball/schedule/2025,https://lagoldeneagles.com/sports/baseball/roster/2025,https://lagoldeneagles.com/sports/baseball,https://lagoldeneagles.com,2025-01-10T00:00:00Z,2024-12-01T00:00:00Z,Sidearm,0,0,1,0,https://lagoldeneagles.com/images/logos/site/site.png?width=600,#ffce00,23-27,0.46,L2,17-23,0.425,L2,https://goccaa.org/images/logos/site/site.png?width=600,NA,NA,NA,NA
Cal St. Monterey Bay,Cal State Monterey Bay,CCAA,NA,Yes,Yes,https://otterathletics.com/sports/baseball/schedule/2025,https://otterathletics.com/sports/baseball/roster/2025,https://otterathletics.com/sports/baseball,https://otterathletics.com,2025-01-15T00:00:00Z,2024-11-29T00:00:00Z,Sidearm,1,0,0,0,https://otterathletics.com/images/logos/site/site.png?width=600,#003768,39-21,0.65,L2,27-13,0.675,W2,https://goccaa.org/images/logos/site/site.png?width=600,CCAA Regular Season and Tournament Champions; West Super Regional Appearance,54.5,79.1,63.8
CSUSB,Cal State San Bernardino,CCAA,NA,Yes,Yes,https://csusbathletics.com/sports/baseball/schedule/2025,https://csusbathletics.com/sports/baseball/roster/2025,https://csusbathletics.com/sports/baseball,https://csusbathletics.com,2024-12-30T00:00:00Z,2024-10-30T00:00:00Z,Sidearm,1,0,0,0,https://csusbathletics.com/images/logos/site/site.png?width=600,#016aa9,23-25,0.479,W2,16-22,0.421,W2,https://goccaa.org/images/logos/site/site.png?width=600,NA,49.9,46.3,48.3
Cal St. San Marcos,Cal State San Marcos,CCAA,NA,No,Yes,https://csusmcougars.com/sports/baseball/schedule/2025,https://csusmcougars.com/sports/baseball/roster/2025,https://csusmcougars.com/sports/baseball,https://csusmcougars.com,2025-01-10T00:00:00Z,2024-12-16T00:00:00Z,Sidearm,0,0,1,0,https://csusmcougars.com/images/logos/site/site.png?width=600,#007ac3,27-21,0.563,L4,26-13,0.667,L3,https://goccaa.org/images/logos/site/site.png?width=600,West Regional Appearance,NA,NA,NA
Stanislaus St.,Cal State Stanislaus,CCAA,NA,No,Yes,https://warriorathletics.com/sports/baseball/schedule/2025,https://warriorathletics.com/sports/baseball/roster/2025,https://warriorathletics.com/sports/baseball,https://warriorathletics.com,2025-01-10T00:00:00Z,2024-11-03T00:00:00Z,Sidearm,0,0,1,0,https://warriorathletics.com/images/logos/site/site.png?width=600,#c9282d,19-27-1,0.415,W2,15-23,0.395,W2,https://goccaa.org/images/logos/site/site.png?width=600,NA,NA,NA,NA
Caldwell,Caldwell,CACC,North,Yes,Yes,https://caldwellathletics.com/sports/baseball/schedule/2025,https://caldwellathletics.com/sports/baseball/roster/2025,https://caldwellathletics.com/sports/baseball,https://caldwellathletics.com,2024-10-31T00:00:00Z,2024-12-19T00:00:00Z,Sidearm,1,0,0,0,https://caldwellathletics.com/images/logos/site/site.png?width=600,#d31732,10-26,0.278,L3,9-14,0.391,L2,https://cdn.usteamcolors.com/images/ncaa/conferences/central-atlantic-collegiate-conference-logo.png,CACC Tournament Appearance,67.60000000000001,55.800000000000004,63
California (PA),California (Pennsylvania),PSAC,West,Yes,Yes,https://calvulcans.com/sports/baseball/schedule/2025,https://calvulcans.com/sports/baseball/roster/2025,https://calvulcans.com/sports/baseball,https://calvulcans.com,2024-11-04T00:00:00Z,2025-01-03T00:00:00Z,Sidearm,1,0,0,0,https://calvulcans.com/images/logos/site/site.png?width=600,#e22026,28-18,0.609,W3,14-14,0.5,W3,https://psacsports.org/images/logos/site/site.png?width=600,NA,79.5,79.3,79.4
Cameron,Cameron,Lone Star,NA,Yes,Yes,https://cameronaggies.com/sports/baseball/schedule/2025,https://cameronaggies.com/sports/baseball/roster/2025,https://cameronaggies.com/sports/baseball,https://cameronaggies.com,2024-10-31T00:00:00Z,2024-10-31T00:00:00Z,Sidearm,1,0,0,0,https://cameronaggies.com/images/logos/site/site.png?width=600,#3c382c,17-33,0.34,W1,16-32,0.333,W1,https://lonestarconference.org/images/logos/site/site.png?width=600,NA,31.1,6.6000000000000005,21.7
Carson-Newman,Carson-Newman,SAC,NA,Yes,Yes,https://www.cneagles.com/sports/m-basebl/2024-25/schedule,https://www.cneagles.com/sports/m-basebl/2024-25/roster,https://www.cneagles.com/sports/m-basebl,https://www.cneagles.com,2024-10-31T00:00:00Z,2024-10-31T00:00:00Z,Presto,1,0,0,0,https://cdn.usteamcolors.com/images/ncaa/division-2/carson-newman-eagles-logo.png,#0C2950,24-26,0.48,L2,16-14,0.533,L2,https://cdn.usteamcolors.com/images/ncaa/conferences/south-atlantic-conference-logo.png,SAC Tournament Appearance,48.4,45.1,47.1
Catawba,Catawba,SAC,NA,Yes,Yes,https://www.catawbaathletics.com/sports/bsb/2024-25/schedule,https://www.catawbaathletics.com/sports/bsb/2024-25/roster,https://www.catawbaathletics.com/sports/bsb,https://www.catawbaathletics.com,2024-10-31T00:00:00Z,2024-10-31T00:00:00Z,Presto,1,0,0,0,https://cdn.prestosports.com/action/cdn/logos/id/iumh6umroded78cj.png,#222D62,46-17,0.73,L1,24-7,0.774,L2,https://cdn.usteamcolors.com/images/ncaa/conferences/south-atlantic-conference-logo.png,Southeast Region Champions; CWS Appearance,52.8,87,65.8
Cedarville,Cedarville,G-MAC,NA,Yes,Yes,https://yellowjackets.cedarville.edu/sports/baseball/schedule/2025,https://yellowjackets.cedarville.edu/sports/baseball/roster/2025,https://yellowjackets.cedarville.edu/sports/baseball,https://yellowjackets.cedarville.edu,2025-01-10T00:00:00Z,2024-12-19T00:00:00Z,Sidearm,1,0,0,0,https://yellowjackets.cedarville.edu/images/logos/site/site.png?width=600,#00263d,14-35,0.286,W1,10-22,0.313,W1,https://greatmidwestsports.com/images/logos/site/site.png?width=600,NA,53.1,85.9,65.5
Central Mo.,Central Missouri,MIAA,NA,Yes,Yes,https://ucmathletics.com/sports/baseball/schedule/2025,https://ucmathletics.com/sports/baseball/roster/2025,https://ucmathletics.com/sports/baseball,https://ucmathletics.com,2024-12-30T00:00:00Z,2024-12-30T00:00:00Z,Sidearm,1,0,0,0,https://ucmathletics.com/images/logos/site/site.png?width=600,#c41e25,52-10,0.839,L2,29-4,0.879,L1,https://themiaa.com/images/logos/site/site.png?width=600,MIAA Regular Season Champions; Central Region Champions; CWS Appearance,36.1,81.4,53.1
Central Okla.,Central Oklahoma,MIAA,NA,Yes,Yes,https://bronchosports.com/sports/baseball/schedule/2025,https://bronchosports.com/sports/baseball/roster/2025,https://bronchosports.com/sports/baseball,https://bronchosports.com,2024-12-30T00:00:00Z,2024-12-30T00:00:00Z,Sidearm,1,0,0,0,https://bronchosports.com/images/logos/site/site.png?width=600,#002d62,37-16,0.698,L1,22-11,0.667,L2,https://themiaa.com/images/logos/site/site.png?width=600,Central Regional Appearance,64,75.5,68.6
Central Wash.,Central Washington,GNAC,NA,Yes,Yes,https://wildcatsports.com/sports/baseball/schedule/2025,https://wildcatsports.com/sports/baseball/roster/2025,https://wildcatsports.com/sports/baseball,https://wildcatsports.com,2024-10-31T00:00:00Z,2024-10-31T00:00:00Z,Sidearm,1,0,0,0,https://wildcatsports.com/images/logos/site/site.png?width=600,#b00836,21-29,0.42,L2,15-17,0.469,L2,https://gnacsports.com/images/logos/site/site.png?width=600,GNAC Tournament Appearance,78.9,33.6,61.7
Chaminade,Chaminade,PacWest,NA,Yes,Yes,https://goswords.com/sports/baseball/schedule/2025,https://goswords.com/sports/baseball/roster/2025,https://goswords.com/sports/baseball,https://goswords.com,2024-10-31T00:00:00Z,2024-10-31T00:00:00Z,Sidearm,1,0,0,0,https://goswords.com/images/logos/site/site.png?width=600,#0039a6,15-33,0.313,L6,8-22,0.267,L5,https://thepacwest.com/images/logos/site/site.png?width=600,First season as a Division II program and first baseball season since 1981,58.8,66.9,62
Charleston (WV),Charleston,MEC,South,Yes,Yes,https://ucgoldeneagles.com/sports/baseball/schedule/2025,https://ucgoldeneagles.com/sports/baseball/roster/2025,https://ucgoldeneagles.com/sports/baseball,https://ucgoldeneagles.com,2024-11-01T00:00:00Z,2024-12-30T00:00:00Z,Sidearm,1,0,0,0,https://ucgoldeneagles.com/images/logos/site/site.png?width=600,#61162d,44-10,0.815,L2,26-4,0.867,W4,https://mountaineast.org/images/logos/site/site.png?width=600,"MEC South Champions, MEC Tournament Champions; Atlantic Regional Appearance",31.5,40.2,34.8
Chestnut Hill,Chestnut Hill,CACC,South,No,Yes,https://griffinathletics.com/sports/baseball/schedule,https://griffinathletics.com/sports/baseball/roster/2025,https://griffinathletics.com/sports/baseball,https://griffinathletics.com,2025-01-10T00:00:00Z,2024-12-01T00:00:00Z,Sidearm,0,0,1,0,https://griffinathletics.com/images/logos/site/site.png?width=600,#ef3e42,15-27,0.357,L1,8-14,0.364,L1,https://cdn.usteamcolors.com/images/ncaa/conferences/central-atlantic-collegiate-conference-logo.png,NA,NA,NA,NA
Chico St.,Chico State,CCAA,NA,Yes,Yes,https://chicowildcats.com/sports/baseball/schedule/2025,https://chicowildcats.com/sports/baseball/roster/2025,https://chicowildcats.com/sports/baseball,https://chicowildcats.com,2024-10-31T00:00:00Z,2024-10-31T00:00:00Z,Sidearm,1,0,0,0,https://chicowildcats.com/images/logos/site/site.png?width=600,#8f0836,25-24,0.51,L2,19-20,0.487,L2,https://goccaa.org/images/logos/site/site.png?width=600,CCAA Tournament Appearance,73.9,49.5,64.5
Chowan,Chowan,Conference Carolinas,NA,Yes,Yes,https://gocuhawks.com/sports/baseball/schedule/2025,https://gocuhawks.com/sports/baseball/roster/2025,https://gocuhawks.com/sports/baseball,https://gocuhawks.com,2024-10-31T00:00:00Z,2024-10-31T00:00:00Z,Sidearm,1,0,0,0,https://gocuhawks.com/images/logos/site/site.png?width=600,#00338e,8-36,0.182,L2,4-26,0.133,L2,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/swuathletics.com/images/responsive_2020/logo_footer_conference-carolina.png,NA,53.800000000000004,57.599999999999994,55.300000000000004
Christian Brothers,Christian Brothers,Gulf South,NA,No,Yes,https://cbubucs.com/sports/baseball/schedule/2025,https://cbubucs.com/sports/baseball/roster/2025,https://cbubucs.com/sports/baseball,https://cbubucs.com,2025-01-10T00:00:00Z,2024-12-09T00:00:00Z,Sidearm,0,0,1,0,https://cbubucs.com/images/logos/site/site.png?width=600,#cc092f,15-30,0.333,W1,7-23,0.233,W1,https://gscsports.org/images/logos/site/site.png?width=600,NA,NA,NA,NA
Claflin,Claflin,Peach Belt,NA,No,Yes,https://athletics.claflin.edu/sports/baseball/schedule/2025,https://athletics.claflin.edu/sports/baseball/roster/2025,https://athletics.claflin.edu/sports/baseball,https://athletics.claflin.edu,2025-01-10T00:00:00Z,2024-12-16T00:00:00Z,Sidearm,0,0,1,0,https://athletics.claflin.edu/images/logos/site/site.png?width=600,#da3f0d,1-44,0.022,L43,0-27,0,L56,https://peachbeltconference.org/images/logos/site/site.png?width=600,NA,NA,NA,NA
Clarion,Clarion,PSAC,West,Yes,Yes,https://clariongoldeneagles.com/sports/baseball/schedule/2025,https://clariongoldeneagles.com/sports/baseball/roster/2025,https://clariongoldeneagles.com/sports/baseball,https://clariongoldeneagles.com,2024-11-01T00:00:00Z,2025-01-03T00:00:00Z,Sidearm,0,1,0,0,https://clariongoldeneagles.com/images/logos/site/site.png?width=600,#0e1c41,15-34,0.306,L2,9-20,0.31,L2,https://psacsports.org/images/logos/site/site.png?width=600,NA,36.6,69.39999999999999,49.4
